 1.000000  0.000000
 0.966721  0.009953
 0.932604  0.018923
 0.897975  0.027626
 0.863105  0.036508
 0.828209  0.045795
 0.793455  0.055541
 0.758974  0.065677
 0.724864  0.076044
 0.691196  0.086439
 0.658025  0.096636
 0.625393  0.106413
 0.593333  0.115569
 0.561875  0.123931
 0.531048  0.131370
 0.500882  0.137791
 0.471409  0.143143
 0.442665  0.147409
 0.414685  0.150605
 0.387511  0.152770
 0.361182  0.153967
 0.335739  0.154268
 0.311220  0.153757
 0.287662  0.152521
 0.265097  0.150646
 0.243553  0.148217
 0.223052  0.145312
 0.203609  0.142003
 0.185235  0.138354
 0.167932  0.134423
 0.151697  0.130259
 0.136519  0.125904
 0.122381  0.121393
 0.109261  0.116757
 0.097132  0.112021
 0.085963  0.107206
 0.075717  0.102329
 0.066356  0.097406
 0.057839  0.092450
 0.050123  0.087472
 0.043163  0.082482
 0.036913  0.077491
 0.031330  0.072508
 0.026368  0.067540
 0.021983  0.062597
 0.018131  0.057686
 0.014770  0.052816
 0.011861  0.047994
 0.009365  0.043227
 0.007244  0.038524
 0.005465  0.033890
 0.003993  0.029332
 0.002800  0.024856
 0.001855  0.020468
 0.001133  0.016173
 0.000608  0.011974
 0.000258  0.007877
 0.000061  0.003885
 0.000000  0.000000
 0.000000  0.000000
 0.000079 -0.004371
 0.000329 -0.008717
 0.000773 -0.013015
 0.001435 -0.017243
 0.002340 -0.021375
 0.003514 -0.025386
 0.004987 -0.029250
 0.006789 -0.032938
 0.008951 -0.036423
 0.011506 -0.039678
 0.014488 -0.042675
 0.017932 -0.045390
 0.021872 -0.047798
 0.026346 -0.049879
 0.031390 -0.051617
 0.037038 -0.052998
 0.043326 -0.054017
 0.050290 -0.054671
 0.057961 -0.054966
 0.066371 -0.054916
 0.075550 -0.054541
 0.085524 -0.053869
 0.096318 -0.052935
 0.107954 -0.051781
 0.120450 -0.050453
 0.133821 -0.049003
 0.148081 -0.047482
 0.163239 -0.045940
 0.179301 -0.044423
 0.196274 -0.042969
 0.214158 -0.041604
 0.232957 -0.040340
 0.252670 -0.039169
 0.273297 -0.038065
 0.294837 -0.036981
 0.317290 -0.035851
 0.340655 -0.034588
 0.364930 -0.033099
 0.390114 -0.031280
 0.416201 -0.029037
 0.443184 -0.026289
 0.471050 -0.022984
 0.499782 -0.019112
 0.529352 -0.014715
 0.559726 -0.009894
 0.590857 -0.004816
 0.622689  0.000292
 0.655155  0.005153
 0.688179  0.009457
 0.721679  0.012892
 0.755573  0.015177
 0.789781  0.016105
 0.824237  0.015581
 0.858896  0.013669
 0.893745  0.010616
 0.928812  0.006870
 0.964181  0.003067
 1.000000  0.000000
